date,cause,source,location,substance,volume,volume_units
July 22 2008,Operator Error,Multiphase Pipeline,Midnapore,,,
March 02 2009,Operator Error,Unknown,Midnapore,,,
March 07 2012,Operator Error,Multiphase Pipeline,Midnapore,,,
12/8/2003,Equipment Failure,Oil Well,RED DEER,Propane,0.1,103m3
December 01 2004,Operator Error,Natural Gas Pipeline,Wainwright,,,
December 01 2004,Operator Error,Water Pipeline,Wainwright,,,
1/4/2008,Operator Error,Unknown,Red Deer,Condensate,0.1,m3
March 02 2004,Operator Error,Other Pipeline,RED DEER,,,
January 16 2005,Operator Error,Sour Gas Pipeline,Red Deer,,,
6/12/2007,Equipment Failure,Oil Well,Red Deer,Air,0.1,103m3
February 28 2003,Operator Error,Multiphase Pipeline,RED DEER,,,
5/31/2003,Operator Error,Unknown,WAINWRIGHT,Crude Oil,0.5,m3
1/25/2009,Operator Error,Unknown,Drayton Valley,Crude Oil,0.1,m3
1/28/2013,Operator Error,Oil Well,Wainwright,Crude Oil,3,m3
January 10 2008,Operator Error,Other Pipeline,St. Albert,,,
7/27/2004,Equipment Failure,Oil Well,DRAYTON VALLEY,Fuel Gas,0.1,103m3
2/15/2006,Equipment Failure,Unknown,St. Albert,Gas Production (Marketable),5,103m3
May 24 2012,Operator Error,Natural Gas Pipeline,St. Albert,,,
12/17/2005,Operator Error,Unknown,Grande Prairie,Crude Oil,1.5,m3
11/10/2012,Equipment Failure,Crude Bitumen Group Batte,Bonnyville,Process Water,11,m3
4/7/2004,Equipment Failure,Compressor Station,ST. ALBERT,Fuel Gas,0,103m3
June 23 2004,Operator Error,Multiphase Pipeline,GRANDE PRAIRIE,,,
May 08 2004,Operator Error,Other Pipeline,Bonnyville,,,
July 08 2008,Operator Error,Water Pipeline,Wainwright,,,
October 24 2003,Operator Error,Multiphase Pipeline,RED DEER,,,
April 07 2005,Equipment Failure,Gas Plant Sulphur Recover,Midnapore,,,
2/17/2012,Operator Error,Oil Well,Wainwright,Frac Sand,0.5,m3
3/29/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
3/21/2008,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
4/3/2008,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
11/2/2005,Operator Error,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
7/15/2009,Equipment Failure,Service Well,Medicine Hat,Process Water,0,m3
5/26/2004,Equipment Failure,Gas Well,MEDICINE HAT,Salt/Produced Water,0.1,m3
1/27/2008,Equipment Failure,Service Well,Medicine Hat,Salt/Produced Water,7.8,m3
10/13/2006,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),1,103m3
11/21/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Hydrotest Fluids (Methanol),0.1,m3
5/11/2011,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.4,m3
4/16/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.8,m3
6/15/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,4,m3
6/15/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,3,m3
8/23/2006,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,1,m3
5/13/2003,Equipment Failure,Other Injection/Disposal,MEDICINE HAT,Salt/Produced Water,6,m3
2/22/2010,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Salt/Produced Water,9,m3
1/22/2006,Operator Error,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
4/15/2004,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Crude Oil,0.3,m3
6/23/2004,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Salt/Produced Water,0.3,m3
1/18/2005,Operator Error,Gas Well,Medicine Hat,Crude Oil,2.5,m3
5/5/2007,Equipment Failure,Gas Well,Medicine Hat,Gas Production (Raw),0.1,103m3
11/19/2010,Equipment Failure,Suspended Well,Medicine Hat,Crude Oil,1.5,m3
5/29/2012,Equipment Failure,Gas Plnt Acid Gas Flr/Inj,Midnapore,Waste,0,m3
1/31/2013,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Crude Oil,0.2,m3
7/18/2004,Operator Error,Gas Proration Effluent Ba,Medicine Hat,Process Water,2,m3
7/16/2008,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Waste,0,m3
11/30/2007,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
4/8/2011,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Salt/Produced Water,0.1,m3
9/29/2008,Operator Error,Compressor Station,Medicine Hat,Salt/Produced Water,3.7,m3
5/20/2003,Equipment Failure,Natural Gas Pipeline,MEDICINE HAT,Gas Production (Raw),0.1,103m3
6/9/2009,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
12/9/2012,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Crude Oil,1,m3
10/25/2012,Operator Error,Oil Well,Medicine Hat,Drilling Mud  (Water Based),3,m3
7/25/2008,Equipment Failure,Sour Gas Pipeline,Midnapore,Gas Production (Raw),10,103m3
7/19/2005,Equipment Failure,Sour Gas Pipeline,Midnapore,Gas Production (Raw),180,103m3
7/19/2005,Equipment Failure,Sour Gas Pipeline,Midnapore,Salt/Produced Water,1,m3
11/14/2011,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
6/14/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Salt/Produced Water,330,m3
9/12/2011,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Fresh Water,1,m3
4/11/2010,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Waste,0,m3
2/27/2007,Equipment Failure,Oil Well,Medicine Hat,Gas Production (Raw),0.1,103m3
12/27/2007,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
7/2/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,2,m3
7/30/2009,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
8/26/2009,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
3/13/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
10/5/2005,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Salt/Produced Water,0.2,m3
3/25/2004,Operator Error,Gas Well,MEDICINE HAT,Carbon Dioxide,1,103m3
9/8/2009,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Salt/Produced Water,0.1,m3
6/24/2011,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
3/23/2006,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
4/22/2005,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
1/27/2010,Equipment Failure,Oil Well,Medicine Hat,Crude Oil,39,m3
7/22/2009,Equipment Failure,Sour Gas Pipeline,Midnapore,Gas Production (Raw),0.1,103m3
3/18/2008,Equipment Failure,Oil Well,Midnapore,Crude Oil,4,m3
8/24/2005,Equipment Failure,Natural Gas Pipeline,Midnapore,Gas Production (Marketable),0.1,103m3
5/20/2007,Operator Error,Gas Proration Effluent Ba,Midnapore,Glycol,2.5,m3
1/17/2005,Equipment Failure,Gas Plant Sulphur Recover,Midnapore,Acid Gas,13.3,103m3
5/25/2006,Equipment Failure,Gas Plant Sulphur Recover,Midnapore,Gas Production (Raw),0.1,103m3
6/21/2009,Equipment Failure,Gas Plant Sulphur Recover,Midnapore,Acid Gas,0.1,103m3
9/9/2010,Equipment Failure,Gas Well,Midnapore,Condensate,0.1,m3
October 04 2007,Operator Error,Sour Gas Pipeline,Midnapore,,,
9/25/2005,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Crude Oil,1,m3
5/18/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
12/28/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,2,m3
7/20/2003,Equipment Failure,Multiphase Pipeline,MEDICINE HAT,Salt/Produced Water,21,m3
4/19/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.3,m3
4/25/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,0.1,m3
5/11/2011,Equipment Failure,Service Well,Medicine Hat,Salt/Produced Water,0.5,m3
1/9/2011,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Waste,0,m3
11/17/2004,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,0.5,m3
9/7/2005,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,7,m3
6/14/2011,Equipment Failure,Water Pipeline,Medicine Hat,Salt/Produced Water,0.5,m3
10/24/2009,Equipment Failure,Multiphase Pipeline,Medicine Hat,Hydrotest Fluids (Methanol),0.1,m3
6/30/2003,Equipment Failure,Service Well,MEDICINE HAT,Crude Oil,0.2,m3
9/17/2010,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
12/30/2007,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
1/8/2008,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,0.2,m3
12/1/2007,Equipment Failure,Service Well,Medicine Hat,Waste,0,m3
10/17/2004,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.1,m3
8/9/2007,Equipment Failure,Multiphase Pipeline,Medicine Hat,Salt/Produced Water,29.4,m3
11/5/2010,Equipment Failure,Service Well,Medicine Hat,Waste,0,m3
10/25/2004,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.2,m3
3/24/2008,Equipment Failure,Service Well,Medicine Hat,Gas Production (Raw),10,103m3
10/27/2007,Operator Error,Suspended Well,Medicine Hat,Crude Oil,0.2,m3
4/28/2004,Equipment Failure,Crude Oil Pipeline,Medicine Hat,Crude Oil,6,m3
10/18/2005,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,1,m3
7/7/2003,Operator Error,Service Well,MEDICINE HAT,Salt/Produced Water,30,m3
3/23/2011,Equipment Failure,Multiphase Pipeline,Medicine Hat,Crude Oil,0.3,m3
2/6/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.8,103m3
8/17/2012,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),10,103m3
5/9/2008,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
10/20/2010,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Raw),0.1,103m3
4/15/2005,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Crude Oil,2,m3
2/18/2007,Equipment Failure,Crude Oil Group Battery,Medicine Hat,Crude Oil,4,m3
7/12/2011,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,0.1,m3
7/12/2011,Equipment Failure,Multiphase Pipeline,Medicine Hat,Fresh Water,0.1,m3
9/28/2006,Equipment Failure,Suspended Well,Medicine Hat,Crude Oil,0.1,m3
8/23/2011,Equipment Failure,Natural Gas Pipeline,Medicine Hat,Gas Production (Marketable),0.1,103m3
