"","date","cause","source","location","substance","volume","year_quarter"
"1","1/28/2013","Operator Error","well","WAINWRIGHT","oil",1,1
"2","11/10/2012","Equipment Failure","battery","BONNYVILLE","water",2,4
"3","3/29/2007","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"4","3/21/2008","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"5","4/3/2008","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"6","11/2/2005","Operator Error","pipeline","MEDICINE HAT","oil",1,4
"7","5/26/2004","Equipment Failure","well","MEDICINE HAT","water",1,2
"8","1/27/2008","Equipment Failure","well","MEDICINE HAT","water",1,1
"9","10/13/2006","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"10","5/11/2011","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"11","4/16/2009","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"12","6/15/2009","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"13","6/15/2009","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"14","8/23/2006","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"15","2/22/2010","Equipment Failure","battery","MEDICINE HAT","water",1,1
"16","1/22/2006","Operator Error","pipeline","MEDICINE HAT","oil",1,1
"17","4/15/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"18","6/23/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"19","1/18/2005","Operator Error","well","MEDICINE HAT","oil",1,1
"20","5/5/2007","Equipment Failure","well","MEDICINE HAT","gas",2,2
"21","11/19/2010","Equipment Failure","well","MEDICINE HAT","oil",1,4
"22","1/31/2013","Equipment Failure","battery","MEDICINE HAT","oil",1,1
"23","11/30/2007","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"24","4/8/2011","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"25","5/20/2003","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"26","6/9/2009","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"27","12/9/2012","Equipment Failure","battery","MEDICINE HAT","oil",1,4
"28","10/25/2012","Operator Error","well","MEDICINE HAT","water",1,4
"29","7/25/2008","Equipment Failure","pipeline","MIDNAPORE","gas",2,3
"30","7/19/2005","Equipment Failure","pipeline","MIDNAPORE","gas",2,3
"31","7/19/2005","Equipment Failure","pipeline","MIDNAPORE","water",1,3
"32","11/14/2011","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"33","6/14/2003","Equipment Failure","pipeline","MEDICINE HAT","water",2,2
"34","9/12/2011","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"35","2/27/2007","Equipment Failure","well","MEDICINE HAT","gas",2,1
"36","12/27/2007","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"37","7/2/2009","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"38","7/30/2009","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"39","8/26/2009","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"40","3/13/2012","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"41","10/5/2005","Equipment Failure","pipeline","MEDICINE HAT","water",1,4
"42","9/8/2009","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"43","6/24/2011","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"44","3/23/2006","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"45","4/22/2005","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"46","1/27/2010","Equipment Failure","well","MEDICINE HAT","oil",2,1
"47","7/22/2009","Equipment Failure","pipeline","MIDNAPORE","gas",2,3
"48","3/18/2008","Equipment Failure","well","MIDNAPORE","oil",1,1
"49","8/24/2005","Equipment Failure","pipeline","MIDNAPORE","gas",2,3
"50","9/25/2005","Equipment Failure","battery","MEDICINE HAT","oil",1,3
"51","5/18/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"52","12/28/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"53","7/20/2003","Equipment Failure","pipeline","MEDICINE HAT","water",2,3
"54","4/19/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"55","4/25/2005","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"56","5/11/2011","Equipment Failure","well","MEDICINE HAT","water",1,2
"57","11/17/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,4
"58","9/7/2005","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"59","6/14/2011","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"60","6/30/2003","Equipment Failure","well","MEDICINE HAT","oil",1,2
"61","9/17/2010","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"62","12/30/2007","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"63","1/8/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"64","10/17/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"65","8/9/2007","Equipment Failure","pipeline","MEDICINE HAT","water",2,3
"66","10/25/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"67","3/24/2008","Equipment Failure","well","MEDICINE HAT","gas",2,1
"68","10/27/2007","Operator Error","well","MEDICINE HAT","oil",1,4
"69","4/28/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"70","10/18/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"71","7/7/2003","Operator Error","well","MEDICINE HAT","water",2,3
"72","3/23/2011","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"73","2/6/2012","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"74","8/17/2012","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"75","5/9/2008","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"76","10/20/2010","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"77","4/15/2005","Equipment Failure","battery","MEDICINE HAT","oil",1,2
"78","2/18/2007","Equipment Failure","battery","MEDICINE HAT","oil",1,1
"79","7/12/2011","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"80","7/12/2011","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"81","9/28/2006","Equipment Failure","well","MEDICINE HAT","oil",1,3
"82","8/23/2011","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"83","7/6/2004","Operator Error","well","MEDICINE HAT","water",1,3
"84","12/16/2008","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"85","6/11/2007","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"86","4/23/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"87","4/2/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"88","9/15/2003","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"89","12/14/2010","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"90","2/18/2011","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"91","3/19/2004","Operator Error","well","MEDICINE HAT","oil",1,1
"92","7/19/2004","Operator Error","battery","MEDICINE HAT","water",2,3
"93","11/30/2009","Equipment Failure","well","MEDICINE HAT","water",1,4
"94","9/7/2010","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"95","12/14/2009","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"96","7/1/2008","Equipment Failure","pipeline","MIDNAPORE","gas",2,3
"97","3/12/2008","Equipment Failure","pipeline","MIDNAPORE","gas",2,1
"98","10/25/2005","Equipment Failure","well","MIDNAPORE","gas",2,4
"99","10/17/2007","Equipment Failure","pipeline","MEDICINE HAT","water",1,4
"100","11/26/2007","Equipment Failure","pipeline","MEDICINE HAT","water",1,4
"101","3/8/2003","Operator Error","battery","MEDICINE HAT","oil",2,1
"102","8/22/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"103","7/23/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"104","6/6/2006","Equipment Failure","well","MEDICINE HAT","water",1,2
"105","2/3/2005","Operator Error","well","MEDICINE HAT","oil",1,1
"106","2/9/2005","Equipment Failure","well","MEDICINE HAT","water",2,1
"107","9/30/2008","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"108","11/30/2003","Equipment Failure","battery","MEDICINE HAT","oil",1,4
"109","12/11/2007","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"110","5/26/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"111","1/19/2007","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"112","4/9/2005","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"113","5/22/2003","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"114","8/3/2008","Equipment Failure","pipeline","MEDICINE HAT","water",2,3
"115","3/26/2005","Equipment Failure","well","MEDICINE HAT","oil",1,1
"116","5/5/2010","Equipment Failure","well","MEDICINE HAT","oil",1,2
"117","11/1/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"118","5/20/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"119","5/21/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"120","6/19/2007","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"121","6/19/2007","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"122","5/15/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"123","3/1/2009","Operator Error","battery","MEDICINE HAT","oil",1,1
"124","9/27/2009","Operator Error","well","MEDICINE HAT","water",2,3
"125","6/25/2005","Equipment Failure","pipeline","MEDICINE HAT","water",2,2
"126","6/22/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"127","5/27/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"128","5/14/2012","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"129","6/21/2012","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"130","2/18/2007","Equipment Failure","well","MEDICINE HAT","water",2,1
"131","6/28/2007","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"132","8/31/2005","Equipment Failure","well","MEDICINE HAT","oil",1,3
"133","3/6/2003","Equipment Failure","well","MEDICINE HAT","oil",2,1
"134","2/24/2004","Equipment Failure","pipeline","MEDICINE HAT","water",2,1
